"table_name","column_name","data_type","is_nullable","column_default"
"emergency_blood_requests","approved_by","integer","YES",
"emergency_blood_requests","rejected_at","timestamp without time zone","YES",
"emergency_blood_requests","rejected_by","integer","YES",
"emergency_blood_requests","rejection_reason","text","YES",
"emergency_blood_requests","ip_address","text","YES",
"emergency_blood_requests","device_info","text","YES",
"gbr_requests","id","integer","NO","nextval('gbr_requests_id_seq'::regclass)"
"gbr_requests","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"gbr_requests","requesterid","character varying","NO",
"gbr_requests","recipientid","character varying","NO",
"gbr_requests","patient_name","character varying","NO",
"gbr_requests","patients_problem","text","YES",
"gbr_requests","blood_group","character varying","NO",
"gbr_requests","hemoglobin_point","numeric","YES",
"gbr_requests","units_required","integer","YES",
"gbr_requests","contact_persons_number","character varying","NO",
"gbr_requests","donation_date","date","YES",
"gbr_requests","donation_time","time without time zone","YES",
"gbr_requests","hospital_name","character varying","NO",
"gbr_requests","address","character varying","YES",
"gbr_requests","upazila","text","YES",
"gbr_requests","district","text","YES",
"gbr_requests","division","character varying","YES",
"hospital","id","integer","NO","nextval('hospital_id_seq'::regclass)"
"hospital","name","text","NO",
"hospital","location","text","NO",
"hospital","created_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"messages","id","integer","NO","nextval('messages_id_seq'::regclass)"
"messages","content","text","NO",
"messages","is_read","boolean","YES","false"
"messages","created_at","timestamp without time zone","YES","now()"
"messages","senderId","character varying","YES",
"messages","recipientId","character varying","YES",
"notification_templates","id","integer","NO","nextval('notification_templates_id_seq'::regclass)"
"notification_templates","name","text","NO",
"notification_templates","type","text","NO",
"notification_templates","subject","text","YES",
"notification_templates","template","text","NO",
"notification_templates","variables","text","YES",
"notification_templates","is_active","boolean","YES","true"
"notification_templates","created_at","timestamp without time zone","YES","now()"
"notification_templates","updated_at","timestamp without time zone","YES","now()"
"notifications","id","integer","NO","nextval('notifications_id_seq'::regclass)"
"notifications","user_id","integer","NO",
"notifications","type","text","NO",
"notifications","title","text","NO",
"notifications","content","text","NO",
"notifications","data","json","YES",
"notifications","is_read","boolean","NO","false"
"notifications","channels","json","NO","'[""web""]'::json"
"notifications","delivery_status","json","YES","'{}'::json"
"notifications","scheduled_for","timestamp without time zone","YES",
"notifications","sent_at","timestamp without time zone","YES",
"notifications","read_at","timestamp without time zone","YES",
"notifications","created_at","timestamp without time zone","NO","now()"
"otp_codes","id","integer","NO","nextval('otp_codes_id_seq'::regclass)"
"otp_codes","user_id","integer","YES",
"otp_codes","identifier","text","NO",
"otp_codes","code","text","NO",
"otp_codes","purpose","text","NO",
"otp_codes","attempts","integer","NO","0"
"otp_codes","is_used","boolean","NO","false"
"otp_codes","expires_at","timestamp without time zone","NO",
"otp_codes","created_at","timestamp without time zone","NO","now()"
"privacy_settings","id","integer","NO","nextval('privacy_settings_id_seq'::regclass)"
"privacy_settings","user_id","integer","NO",
"privacy_settings","share_email","boolean","NO","true"
"privacy_settings","share_phone","boolean","NO","true"
"privacy_settings","created_at","timestamp without time zone","NO","now()"
"reactivation_requests","id","integer","NO","nextval('reactivation_requests_id_seq'::regclass)"
"reactivation_requests","request_id","text","NO",
"reactivation_requests","user_id","integer","NO",
"reactivation_requests","reason","text","NO",
"reactivation_requests","documents","text","YES",
"reactivation_requests","status","text","NO","'Pending'::text"
"reactivation_requests","admin_id","integer","YES",
"reactivation_requests","admin_note","text","YES",
"reactivation_requests","processed_at","timestamp without time zone","YES",
"reactivation_requests","created_at","timestamp without time zone","YES","now()"
"search_activity","id","integer","NO","nextval('search_activity_id_seq'::regclass)"
"search_activity","ip_address","text","NO",
"search_activity","user_agent","text","YES",
"search_activity","search_query","text","YES",
"search_activity","search_filters","json","YES",
"search_activity","result_count","integer","YES","0"
"search_activity","session_id","text","YES",
"search_activity","user_id","integer","YES",
"search_activity","created_at","timestamp without time zone","NO","now()"
"system_analytics","id","integer","NO","nextval('system_analytics_id_seq'::regclass)"
"system_analytics","metric_type","text","NO",
"system_analytics","metric_value","integer","NO","1"
"system_analytics","user_id","integer","YES",
"system_analytics","metadata","json","YES",
"system_analytics","recorded_at","timestamp without time zone","NO","now()"
"system_analytics","created_date","date","NO","now()"
"system_settings","id","integer","NO","nextval('system_settings_id_seq'::regclass)"
"system_settings","category","text","NO",
"system_settings","key","text","NO",
"system_settings","value","text","NO",
"system_settings","data_type","text","NO","'string'::text"
"system_settings","description","text","YES",
"system_settings","updated_by","integer","YES",
"system_settings","updated_at","timestamp without time zone","YES","now()"
"testimonials","id","integer","NO","nextval('testimonials_id_seq'::regclass)"
"testimonials","rating","integer","NO",
"testimonials","content","text","NO",
"testimonials","media_files","jsonb","YES","'[]'::jsonb"
"testimonials","is_reported","boolean","YES","false"
"testimonials","created_at","timestamp without time zone","YES","now()"
"testimonials","reviewerId","character varying","YES",
"testimonials","revieweeId","character varying","YES",
"two_factor_auth","id","integer","NO","nextval('two_factor_auth_id_seq'::regclass)"
"two_factor_auth","user_id","integer","NO",
"two_factor_auth","is_enabled","boolean","NO","false"
"two_factor_auth","secret","text","YES",
"two_factor_auth","backup_codes","json","YES","'[]'::json"
"two_factor_auth","enabled_at","timestamp without time zone","YES",
"two_factor_auth","last_used_at","timestamp without time zone","YES",
"two_factor_auth","created_at","timestamp without time zone","NO","now()"
"user_badges","id","integer","NO","nextval('user_badges_id_seq'::regclass)"
"user_badges","user_id","integer","NO",
"user_badges","badge_id","integer","NO",
"user_badges","earned_at","timestamp without time zone","NO","now()"
"user_verifications","id","integer","NO","nextval('user_verifications_id_seq'::regclass)"
"user_verifications","user_id","integer","NO",
"user_verifications","verification_type","text","NO",
"user_verifications","document_type","text","YES",
"user_verifications","document_number","text","YES",
"user_verifications","document_images","json","YES","'[]'::json"
"user_verifications","status","text","NO","'pending'::text"
"user_verifications","reviewed_by","integer","YES",
"user_verifications","reviewed_at","timestamp without time zone","YES",
"user_verifications","rejection_reason","text","YES",
"user_verifications","expires_at","timestamp without time zone","YES",
"user_verifications","created_at","timestamp without time zone","NO","now()"
"user_verifications","updated_at","timestamp without time zone","NO","now()"
"users","id","integer","NO","nextval('users_id_seq'::regclass)"
"users","username","text","NO",
"users","email","text","NO",
"users","phone","text","NO",
"users","password","text","NO",
"users","full_name","text","NO",
"users","date_of_birth","text","NO",
"users","blood_group","text","NO",
"users","weight","integer","NO",
"users","district","text","NO",
"users","upazila","text","NO",
"users","address","text","NO",
"users","last_donation_date","text","YES",
"users","is_verified","boolean","YES","false"
"users","is_available","boolean","YES","true"
"users","donation_count","integer","YES","0"
"users","rating","integer","YES","5"
"users","profile_picture","text","YES",
"users","cover_photo","text","YES",
"users","bio","text","YES",
"users","education","text","YES",
"users","work","text","YES",
"users","current_city","text","YES",
"users","hometown","text","YES",
"users","social_links","jsonb","YES","'{}'::jsonb"
"users","blood_donation_history","jsonb","YES","'[]'::jsonb"
"users","is_admin","boolean","YES","false"
"users","created_at","timestamp without time zone","YES","now()"
"users","donorId","character varying","YES",
"users","is_system_created","boolean","YES","false"
"users","status","character varying","YES",
"users","age","integer","YES",
"users","hemoglobin","numeric","YES",
"users","last_donation_date_date","text","YES",
"users","gender","text","YES",
"users","division","character varying","YES",
"users","stat","character varying","YES",
"verification_requests","id","integer","NO","nextval('verification_requests_id_seq'::regclass)"
"verification_requests","request_id","text","NO",
"verification_requests","user_id","integer","NO",
"verification_requests","verification_type","text","NO",
"verification_requests","documents","text","YES",
"verification_requests","reason","text","YES",
"verification_requests","status","text","NO","'Pending'::text"
"verification_requests","admin_id","integer","YES",
"verification_requests","admin_note","text","YES",
"verification_requests","processed_at","timestamp without time zone","YES",
"verification_requests","created_at","timestamp without time zone","YES","now()"
"work_history","id","integer","NO","nextval('work_history_id_seq'::regclass)"
"work_history","user_id","integer","NO",
"work_history","company","text","NO",
"work_history","position","text","NO",
"work_history","city","text","NO",
"work_history","description","text","YES",
"work_history","start_date","text","NO",
"work_history","end_date","text","YES",
"work_history","is_current_job","boolean","YES","false"
"work_history","created_at","timestamp without time zone","YES","now()"
